Onset	Duration	Amplitude	trial_type
68.9074	1	23	Occlusion_Start
369.1244	1	22	Occlusion_End
747.2248	1	32	Start_MVC_Pre
826.3932	1	33	Start_MVC_Pre
904.5203	1	34	Start_MVC_Pre
1111.0783	1	12	Contraction_60_Rep
1121.7131	1	25	Rest
1155.4243	1	13	Contraction_60_Rep
1166.0647	1	25	Rest
1199.7807	1	14	Contraction_60_Rep
1210.4214	1	25	Rest
1244.1291	1	15	Contraction_60_Rep
1254.7658	1	25	Rest
1288.4775	1	16	Contraction_60_Rep
1299.1182	1	25	Rest
1485.1444	1	7	Contraction_40_Rep
1495.7782	1	25	Rest
1529.4827	1	8	Contraction_40_Rep
1540.1182	1	25	Rest
1573.8372	1	9	Contraction_40_Rep
1584.4764	1	25	Rest
1618.1907	1	10	Contraction_40_Rep
1628.8295	1	25	Rest
1662.5421	1	11	Contraction_40_Rep
1673.1812	1	25	Rest
1858.185	1	2	Contraction_20_Rep
1868.8255	1	25	Rest
1902.5374	1	3	Contraction_20_Rep
1913.1784	1	25	Rest
1946.888	1	4	Contraction_20_Rep
1957.528	1	25	Rest
1991.2406	1	5	Contraction_20_Rep
2001.8764	1	25	Rest
2035.5856	1	6	Contraction_20_Rep
2046.2263	1	25	Rest
2233.6399	1	31	Start_MVC_Post
2239.4133	1	36	Stop_MVC_Post
