Subject;Session;Condition;Mean_Intensity_Nm;MVC_Pre_Mean
sub-001;ses-001;20%;64.642;303.561
sub-001;ses-001;40%;127.907;303.561
sub-001;ses-001;60%;189.977;303.561
sub-001;ses-002;20%;61.739;300.161
sub-001;ses-002;40%;124.789;300.161
sub-001;ses-002;60%;182.903;300.161
sub-002;ses-001;20%;39.786;167.54
sub-002;ses-001;40%;79.809;167.54
sub-002;ses-001;60%;113.536;167.54
sub-002;ses-002;20%;58.378;276.733
sub-002;ses-002;40%;110.195;276.733
sub-002;ses-002;60%;165.423;276.733
sub-003;ses-001;20%;58.809;277.951
sub-003;ses-001;40%;120.55;277.951
sub-003;ses-001;60%;179.492;277.951
sub-003;ses-002;20%;71.339;347.314
sub-003;ses-002;40%;137.78;347.314
sub-003;ses-002;60%;205.661;347.314
